lat,lon,Fatalities
-1.2178,41.8369,3
-1.2167,41.7,2
-1.15,41.75,3
-1.1369,41.2174,0
-1.1369,41.2174,0
-1.1369,41.2174,8
-1.1369,41.2174,1
-1.1369,41.2174,0
-1.03,41.483,0
-1.03,41.483,0
-1.03,41.483,0
-1.03,41.483,0
-1.03,41.483,19
-0.632,41.9839,4
-0.632,41.9839,0
-0.5462,41.6398,5
-0.4906,42.1969,10
-0.4906,42.1969,0
-0.4906,42.1969,4
-0.4906,42.1969,0
-0.4906,42.1969,0
-0.4906,42.1969,7
-0.4906,42.1969,3
-0.3603,42.5463,0
-0.3603,42.5463,10
-0.3603,42.5463,6
-0.3603,42.5463,2
-0.3603,42.5463,2
-0.3603,42.5463,3
-0.3603,42.5463,0
-0.3603,42.5463,11
-0.3603,42.5463,10
-0.3603,42.5463,0
-0.3603,42.5463,6
-0.3603,42.5463,1
-0.3603,42.5463,9
-0.3603,42.5463,3
-0.3603,42.5463,10
-0.3603,42.5463,3
-0.3603,42.5463,2
-0.3603,42.5463,0
-0.3603,42.5463,1
-0.3603,42.5463,11
-0.3603,42.5463,4
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,1
-0.3603,42.5463,0
-0.3603,42.5463,1
-0.3603,42.5463,1
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,2
-0.3603,42.5463,0
-0.3603,42.5463,2
-0.3603,42.5463,5
-0.3603,42.5463,2
-0.3603,42.5463,1
-0.3603,42.5463,1
-0.3603,42.5463,0
-0.3603,42.5463,10
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,1
-0.3603,42.5463,1
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,2
-0.3603,42.5463,0
-0.3603,42.5463,6
-0.3603,42.5463,6
-0.3603,42.5463,1
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3603,42.5463,1
-0.3603,42.5463,0
-0.3603,42.5463,0
-0.3511,42.5325,0
-0.3257,42.2799,0
-0.3257,42.2799,3
-0.3257,42.2799,20
-0.25,42.2167,0
-0.2488,42.6007,25
-0.2488,42.6007,8
-0.2488,42.6007,10
-0.2324,41.9524,0
-0.2285,41.8716,6
-0.2201,42.1959,5
-0.2201,42.1959,0
-0.2201,42.1959,0
-0.2201,42.1959,8
-0.2201,42.1959,0
-0.2201,42.1959,0
-0.2201,42.1959,3
-0.2037,42.6044,4
-0.2008,42.1712,6
-0.1772,41.277,0
-0.1772,41.277,0
-0.1772,41.277,2
-0.1772,41.277,0
-0.1772,41.277,0
-0.1772,41.277,0
-0.1772,41.277,0
-0.1734,41.2695,0
-0.1734,41.2695,1
-0.1734,41.2695,0
-0.1493,42.3994,1
-0.1493,42.3994,3
-0.1493,42.3994,0
-0.1302,42.5743,5
-0.1302,42.5743,6
-0.1302,42.5743,1
-0.1302,42.5743,0
-0.074,42.5719,0
-0.074,42.5719,2
-0.074,42.5719,3
-0.074,42.5719,6
-0.074,42.5719,0
-0.074,42.5719,3
-0.074,42.5719,10
-0.074,42.5719,0
-0.074,42.5719,1
-0.074,42.5719,16
-0.074,42.5719,10
-0.074,42.5719,0
-0.0295,42.5985,10
-0.0295,42.5985,3
-0.0295,42.5985,5
0,38.7833,0
0,42,4
0.0288,42.2882,0
0.0288,42.2882,0
0.0288,42.2882,0
0.2238,42.7699,5
0.2494,42.7751,7
0.2494,42.7751,0
0.2543,42.7582,0
0.2671,42.1722,0
0.27,41.25,0
0.2794,41.2697,4
0.2794,41.2697,0
0.2819,41.7136,10
0.3046,41.4394,0
0.3046,41.4394,0
0.3046,41.4394,10
0.3046,41.4394,0
0.3046,41.4394,0
0.3046,41.4394,11
0.3639,42.7706,3
0.4063,41.0124,7
0.4063,41.0124,0
0.4063,41.0124,0
0.4063,41.0124,25
0.4099,41.0089,10
0.4343,41.8145,9
0.4474,42.7033,10
0.4474,42.7033,0
0.4754,42.3015,0
0.4754,42.3015,0
0.4833,42.7666,2
0.4833,42.7666,2
0.4833,42.7666,1
0.4833,42.7666,0
0.4833,42.7666,2
0.4833,42.7666,10
0.4833,42.7666,0
0.4833,42.7666,1
0.4833,42.7666,0
0.4833,42.7666,0
0.4833,42.7666,2
0.5172,42.071,0
0.5172,42.071,1
0.5172,42.071,2
0.5172,42.071,140
0.5172,42.071,3
0.5172,42.071,0
0.5172,42.071,0
0.5172,42.071,2
0.5172,42.071,3
0.5172,42.071,0
0.5172,42.071,2
0.5172,42.071,19
0.5587,42.7077,1
0.5781,42.7143,0
0.7,43.1,0
0.7,43.1,0
0.7,43.1,3
0.7,43.1,0
0.7,43.1,2
0.7,43.1,10
0.747,42.669,10
0.7951,42.098,0
0.87,41.9753,0
0.9625,41.0616,0
0.9625,41.0616,0
1.1132,44.0297,12
1.1132,44.0297,2
1.1132,44.0297,0
1.1132,44.0297,0
1.1132,44.0297,7
1.1132,44.0297,1
