NAME_ENGLI,ref_2007,ref_2008,ref_2009,ref_2010,ref_2011,ref_2012,ref_2013,ref_2014,ref_2015,ref_2016
BurkinaFaso,558,725,990,1145,1271,1460,1584,1857,2148,2327
Cameroon,11508,13870,14766,14963,15163,13382,11427,10766,10586,10328
Chad,55722,55105,55014,53733,42640,39694,48640,48258,14940,14146
Djibouti,648,650,622,566,602,640,762,879,1069,1417
Eritrea,208748,186398,209168,222460,251954,285371,308236,363092,407449,459390
Ethiopia,59858,63878,62889,68848,70610,74968,77122,86870,85839,83894
Gambia,1267,1352,1973,2242,2583,3076,3397,5136,8492,11569
Mali,4494,1758,2926,3663,4295,149943,152828,139267,154213,156390
Mauritania,33108,45601,39143,37733,39929,33765,34252,34113,34660,36228
Niger,827,796,822,803,819,832,683,739,1390,1210
Nigeria,13904,14169,15609,15642,17141,18021,31176,90947,167989,229261
Senegal,15896,16006,16305,16267,17722,18724,19822,23118,21280,23019
Somalia,457356,561155,678309,770154,1077048,1136719,1121770,1106434,1123156,1012277
SouthSudan,0,0,0,0,1,87009,114470,616211,778718,1436667
Sudan,523032,419248,368195,387288,500014,568943,648942,665967,627087,650588
