NAME_ENGLI,att_2007,att_2008,att_2009,att_2010,att_2011,att_2012,att_2013,att_2014,att_2015,att_2016
Burkina Faso,0,8,0,1,38,19,16,43,41,47
Cameroon,17,22,16,13,13,7,35,106,117,146
Chad,100,74,22,10,6,6,5,14,37,30
Djibouti,2,2,6,8,1,2,8,25,8,5
Eritrea,5,21,8,3,5,4,8,1,4,7
Ethiopia,49,111,100,194,88,149,131,73,236,672
Gambia,2,4,3,4,3,3,2,5,8,11
Mali,11,21,10,16,27,239,289,133,167,155
Mauritania,1,1,2,4,8,4,9,9,8,4
Niger,29,22,11,8,9,8,20,19,64,70
Nigeria,186,180,176,366,313,758,779,1007,983,826
Senegal,18,9,20,14,17,26,21,42,20,16
Somalia,1214,1333,589,1137,1212,2005,2808,2687,2150,2433
South Sudan,28,79,203,150,177,209,384,937,815,941
Sudan,83,217,122,110,180,679,939,1214,1244,1305
